EGID,VAR_NAME,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,WOOD,GLASS,METAL,MINERAL,ROOFTILE
145977,b21,456,68,1,4,3,8045,M,1939,1919 - 1945,10.36,34.09,68.18,#N/A,#N/A
162202,b22,667,80,1,4,9,8048,P,1939,1919 - 1945,22.8,#N/A,#N/A,208,144.5
165293,b23,1376,138,3,5,10,8049,P,1949,1946 - 1960,41.34,#N/A,#N/A,418.03,#N/A
165294,b24,2258,213,6,5,10,8049,P,1949,1946 - 1960,67.84,#N/A,#N/A,685.97,#N/A
144123,b25,2147,238,9,5,2,8002,P,1952,1946 - 1960,#N/A,#N/A,177.93,270.96,103.71
144124,b26,2069,235,6,5,2,8002,P,1952,1946 - 1960,#N/A,#N/A,171.46,261.12,99.94
144119,b27,2119,237,7,5,2,8002,P,1952,1946 - 1960,#N/A,#N/A,175.61,267.43,102.35
162121,b28,351,51,1,4,9,8048,P,1947,1946 - 1960,8.41,0.92,#N/A,47.95,12.54
162122,b29,381,50,1,4,9,8048,P,1947,1946 - 1960,9.13,1,#N/A,52.05,13.61
147215,b30,2386,216,12,5,3,8003,P,1938,1919 - 1945,20,4,#N/A,600,15
147214,b31,2250,216,12,5,3,8003,P,1938,1919 - 1945,#N/A,#N/A,#N/A,1076.83,#N/A
157494,b32,2006,183,7,6,7,8032,P,1945,1919 - 1945,59.42,2.9,34.75,602.26,9.06
157495,b33,3973,300,12,6,7,8032,P,1945,1919 - 1945,117.68,5.73,68.82,1192.82,17.94
157496,b34,2681,245,6,5,7,8032,P,1945,1919 - 1945,79.41,3.87,46.44,804.92,12.1
150976,b35,1218,90,3,5,6,8057,P,1921,1919 - 1945,5.48,#N/A,0.05,53.53,4.67
150977,b36,1444,113,4,5,6,8057,P,1921,1919 - 1945,6.49,#N/A,0.05,63.47,5.53
172240,b37,1744,174,6,5,11,8052,P,1950,1946 - 1960,44.28,#N/A,14.36,837.66,14.36
172239,b38,1942,174,6,5,11,8052,P,1950,1946 - 1960,49.3,#N/A,15.99,932.76,15.99
172251,b39,1863,179,6,5,11,8052,P,1950,1946 - 1960,47.3,#N/A,15.34,894.81,15.34
172250,b40,1738,180,6,5,11,8052,P,1950,1946 - 1960,44.12,#N/A,14.31,834.77,14.31
172242,b41,434,59,1,4,11,8052,P,1949,1946 - 1960,1.46,#N/A,4.01,165.31,#N/A
172243,b42,382,52,1,4,11,8052,P,1949,1946 - 1960,1.29,#N/A,3.53,145.51,#N/A
172244,b43,382,52,1,4,11,8052,P,1949,1946 - 1960,1.29,#N/A,3.53,145.51,#N/A
172245,b44,382,52,1,4,11,8052,P,1949,1946 - 1960,1.29,#N/A,3.53,145.51,#N/A
172246,b45,382,52,1,4,11,8052,P,1949,1946 - 1960,1.29,#N/A,3.53,145.51,#N/A
172247,b46,382,52,1,4,11,8052,P,1949,1946 - 1960,1.29,#N/A,3.53,145.51,#N/A
172248,b47,382,52,1,4,11,8052,P,1949,1946 - 1960,1.29,#N/A,3.53,145.51,#N/A
172249,b48,397,54,1,4,11,8052,P,1949,1946 - 1960,1.34,#N/A,3.67,151.22,#N/A
172212,b49,1841,170,6,5,11,8052,P,1949,1946 - 1960,6.2,#N/A,17,701.24,#N/A
172213,b50,1819,168,6,5,11,8052,P,1949,1946 - 1960,6.13,#N/A,16.8,692.86,#N/A
172214,b51,1819,168,6,5,11,8052,P,1949,1946 - 1960,6.13,#N/A,16.8,692.86,#N/A
172215,b52,1851,171,6,5,11,8052,P,1949,1946 - 1960,6.24,#N/A,17.09,705.05,#N/A
172216,b53,1828,170,6,5,11,8052,P,1949,1946 - 1960,6.16,#N/A,16.88,696.29,#N/A
172211,b54,1827,170,6,5,11,8052,P,1949,1946 - 1960,6.16,#N/A,16.87,695.91,#N/A
171128,b55,2227,171,6,5,11,8052,P,1949,1946 - 1960,7.51,#N/A,20.56,848.27,#N/A
171129,b56,2227,171,6,5,11,8052,P,1949,1946 - 1960,7.51,#N/A,20.56,848.27,#N/A
171130,b57,3217,247,9,5,11,8052,P,1960,1946 - 1960,10.84,#N/A,29.71,1225.37,#N/A
171131,b58,1869,171,6,5,11,8052,P,1949,1946 - 1960,6.3,#N/A,17.26,711.91,#N/A
171132,b59,1859,170,6,5,11,8052,P,1949,1946 - 1960,6.27,#N/A,17.17,708.1,#N/A
171133,b60,1837,168,9,5,11,8052,P,1960,1946 - 1960,6.19,#N/A,16.96,699.72,#N/A
171139,b61,1833,170,6,5,11,8052,P,1949,1946 - 1960,6.18,#N/A,16.93,698.2,#N/A
171140,b62,1822,169,6,5,11,8052,P,1949,1946 - 1960,6.14,#N/A,16.82,694.01,#N/A
171134,b63,1839,170,6,5,11,8052,P,1949,1946 - 1960,6.2,#N/A,16.98,700.48,#N/A
171135,b64,1828,169,6,5,11,8052,P,1949,1946 - 1960,6.16,#N/A,16.88,696.29,#N/A
171136,b65,1028,95,6,5,11,8052,P,1960,1946 - 1960,3.46,#N/A,9.49,391.57,#N/A
172209,b66,1827,170,6,5,11,8052,P,1949,1946 - 1960,6.16,#N/A,16.87,695.91,#N/A
172210,b67,1828,170,6,5,11,8052,P,1949,1946 - 1960,6.16,#N/A,16.88,696.29,#N/A
172219,b68,392,53,1,4,11,8052,P,1949,1946 - 1960,1.32,#N/A,3.62,149.31,#N/A
172220,b69,385,52,1,4,11,8052,P,1949,1946 - 1960,1.3,#N/A,3.56,146.65,#N/A
172221,b70,385,52,1,4,11,8052,P,1949,1946 - 1960,1.3,#N/A,3.56,146.65,#N/A
172222,b71,385,52,1,4,11,8052,P,1949,1946 - 1960,1.3,#N/A,3.56,146.65,#N/A
172223,b72,430,58,1,4,11,8052,P,1949,1946 - 1960,1.45,#N/A,3.97,163.79,#N/A
172224,b73,393,53,1,4,11,8052,P,1949,1946 - 1960,1.32,#N/A,3.63,149.7,#N/A
172225,b74,386,52,1,4,11,8052,P,1949,1946 - 1960,1.3,#N/A,3.56,147.03,#N/A
172226,b75,386,52,1,4,11,8052,P,1949,1946 - 1960,1.3,#N/A,3.56,147.03,#N/A
172227,b76,430,58,1,4,11,8052,P,1949,1946 - 1960,1.45,#N/A,3.97,163.79,#N/A
172229,b77,397,54,1,4,11,8052,P,1949,1946 - 1960,1.34,#N/A,3.67,151.22,#N/A
172230,b78,389,53,1,4,11,8052,P,1949,1946 - 1960,#N/A,#N/A,#N/A,#N/A,#N/A
144507,b79,8734,469,16,7,3,8055,F,1956,1946 - 1960,#N/A,#N/A,78,1231.2,#N/A
146954,b80,2707,224,6,4,3,8055,F,1968,1961 - 1970,2,4,5,1850,#N/A
3169173,b81,935,107,1,5,4,8004,P,1887,< 1919,#N/A,#N/A,#N/A,178.44,#N/A
9001409,b82,3152,196,4,6,4,8004,P,1887,< 1919,#N/A,#N/A,#N/A,601.56,#N/A
160735,b83,912,181,1,5,9,8055,M,1873,< 1919,11.97,2.5,8,67.6,15.3
160590,b84,810,118,1,4,9,8055,P,1936,1919 - 1945,75.24,#N/A,45,#N/A,#N/A
302022856,b85,1182,296,1,2,6,8057,F,1931,1919 - 1945,5.19,3.8,4.56,98.73,7.75
151936,b86,1811,189,3,5,6,8057,F,1931,1919 - 1945,7.96,5.82,6.98,151.27,11.87
157669,b87,7131,752,57,5,7,8053,F,1969,1961 - 1970,48.17,60,183.75,1030.9,#N/A
157673,b88,3172,333,37,5,7,8053,P,1960,1946 - 1960,72.87,#N/A,410.93,949.7,#N/A
157674,b89,348,109,1,2,7,8053,P,1960,1946 - 1960,7.99,#N/A,45.08,104.19,#N/A
157675,b90,2567,247,9,6,7,8053,P,1960,1946 - 1960,58.97,#N/A,332.55,768.56,#N/A
157676,b91,2597,246,9,6,7,8053,P,1960,1946 - 1960,59.66,#N/A,336.44,777.54,#N/A
171866,b92,492,69,1,4,11,8052,P,1850,< 1919,11.4,#N/A,#N/A,120,#N/A
142631,b93,1425,130,6,5,2,8038,P,1931,1919 - 1945,13.54,#N/A,37.1,1530.26,#N/A
142619,b94,1634,150,6,4,2,8038,P,1931,1919 - 1945,15.53,#N/A,42.54,1754.7,#N/A
142620,b95,1656,152,6,4,2,8038,P,1931,1919 - 1945,15.74,#N/A,43.11,1778.33,#N/A
142621,b96,1995,182,6,5,2,8038,P,1931,1919 - 1945,18.96,#N/A,51.94,2142.37,#N/A
142622,b97,1685,150,6,5,2,8038,P,1931,1919 - 1945,16.01,#N/A,43.87,1809.47,#N/A
142623,b98,1685,150,6,5,2,8038,P,1931,1919 - 1945,16.01,#N/A,43.87,1809.47,#N/A
142624,b99,1995,180,6,5,2,8038,P,1931,1919 - 1945,18.96,#N/A,51.94,2142.37,#N/A
142625,b100,1651,150,6,5,2,8038,P,1931,1919 - 1945,15.69,#N/A,42.98,1772.96,#N/A
142626,b101,1639,149,6,5,2,8038,P,1931,1919 - 1945,15.57,#N/A,42.67,1760.07,#N/A
155370,b102,2260,204,1,5,7,8032,M,1945,1919 - 1945,52.62,19.23,230.77,140,14.38
169510,b103,543,70,1,4,11,8050,P,1926,1919 - 1945,#N/A,0.5,0.3,12.6,6.15
153599,b104,840,226,2,3,6,8006,F,1897,< 1919,28.5,#N/A,#N/A,195,#N/A
149286,b105,1570,93,21,6,4,8004,P,1881,< 1919,17.29,1.9,11.38,345.05,#N/A
302004887,b106,1615,92,1,6,4,8004,P,1881,< 1919,17.79,1.95,11.7,354.95,#N/A
162823,b107,493,110,1,3,9,8048,P,1943,1919 - 1945,2.19,1.92,#N/A,25,10.46
144543,b108,2000,205,9,5,3,8055,P,1960,1946 - 1960,25.8,9.05,27.16,626.81,#N/A
144544,b109,2099,204,9,5,3,8055,P,1960,1946 - 1960,27.07,9.5,28.5,657.84,#N/A
144545,b110,2223,203,9,5,3,8055,P,1960,1946 - 1960,28.67,10.06,30.18,696.7,#N/A
144546,b111,3273,306,9,5,3,8055,P,1960,1946 - 1960,42.22,14.81,44.44,1025.77,#N/A
144547,b112,1866,174,9,5,3,8055,P,1960,1946 - 1960,24.07,8.45,25.34,584.81,#N/A
144548,b113,1796,174,9,5,3,8055,P,1960,1946 - 1960,23.17,8.13,24.39,562.87,#N/A
158172,b114,850,123,1,4,7,8053,P,1937,1919 - 1945,5.7,0.03,7.5,#N/A,8.5
149457,b115,3250,183,10,7,4,8004,P,1931,1919 - 1945,37.86,5.93,142.34,185.04,16.13
149458,b116,3800,201,8,6,4,8004,P,1931,1919 - 1945,44.27,6.93,166.42,216.35,18.86
149459,b117,2420,168,8,6,4,8004,P,1931,1919 - 1945,28.19,4.42,105.99,137.78,12.01
149448,b118,2590,181,8,6,4,8004,P,1931,1919 - 1945,30.17,4.73,113.43,147.46,12.86
149449,b119,2420,168,8,6,4,8004,P,1931,1919 - 1945,28.19,4.42,105.99,137.78,12.01
2366535,b120,2490,168,8,6,4,8004,P,1931,1919 - 1945,29.01,4.54,109.05,141.77,12.36
149451,b121,3030,204,8,6,4,8004,P,1931,1919 - 1945,35.3,5.53,132.7,172.51,15.04
149452,b122,1580,133,6,5,4,8004,P,1909,1900 - 1919,18.41,2.88,69.2,89.96,7.84
149453,b123,3030,205,8,6,4,8004,P,1932,1919 - 1945,35.3,5.53,132.7,172.51,15.04
149454,b124,2510,170,8,6,4,8004,P,1932,1919 - 1945,29.24,4.58,109.93,142.91,12.46
149455,b125,2510,170,8,6,4,8004,P,1932,1919 - 1945,29.24,4.58,109.93,142.91,12.46
149456,b126,2680,181,8,6,4,8004,P,1932,1919 - 1945,31.22,4.89,117.37,152.58,13.3
149440,b127,2540,170,7,6,4,8004,P,1932,1919 - 1945,29.59,4.64,111.24,144.61,12.61
149441,b128,2540,170,8,6,4,8004,P,1933,1919 - 1945,29.59,4.64,111.24,144.61,12.61
149442,b129,3040,201,8,6,4,8004,P,1933,1919 - 1945,35.41,5.55,133.14,173.08,15.09
149443,b130,2720,172,8,6,4,8004,P,1933,1919 - 1945,31.69,4.96,119.12,154.86,13.5
149460,b131,3445,199,10,7,4,8004,P,1931,1919 - 1945,40.13,6.29,150.88,196.14,17.1
149461,b132,3130,182,10,7,4,8004,P,1931,1919 - 1945,36.46,5.71,137.08,178.2,15.54
149462,b133,3570,205,10,7,4,8004,P,1931,1919 - 1945,41.59,6.51,156.35,203.26,17.72
149463,b134,3155,181,10,7,4,8004,P,1931,1919 - 1945,36.75,5.76,138.18,179.63,15.66
149444,b135,3090,205,8,6,4,8004,P,1933,1919 - 1945,36,5.64,135.33,175.93,15.34
149445,b136,3090,205,8,6,4,8004,P,1933,1919 - 1945,36,5.64,135.33,175.93,15.34
149446,b137,3090,206,8,6,4,8004,P,1933,1919 - 1945,36,5.64,135.33,175.93,15.34
149447,b138,2780,185,8,6,4,8004,P,1933,1919 - 1945,32.39,5.07,121.75,158.28,13.8
11516014,b139,481,68,1,4,11,8052,P,1938,1919 - 1945,4.26,#N/A,#N/A,187.17,#N/A
172420,b140,608,120,1,4,11,8052,M,1938,1919 - 1945,5.27,#N/A,#N/A,231.62,#N/A
145205,b141,930,87,2,5,3,8045,P,1878,< 1919,17.1,3.42,5.7,113.97,5.7
145206,b142,702,86,3,5,3,8045,P,1878,< 1919,12.9,2.58,4.3,86.03,4.3
158063,b143,981,87,1,4,7,8053,P,1928,1919 - 1945,8.55,2.5,75,130,8.5
144243,b144,1664,181,5,5,2,8002,P,1953,1946 - 1960,51.52,33.89,67.79,105.75,#N/A
144244,b145,2018,205,8,6,2,8002,P,1953,1946 - 1960,62.48,41.11,82.21,128.25,#N/A
160123,b146,640,109,1,3,8,8008,P,1939,1919 - 1945,5.84,0.49,3.89,145.9,3.89
160124,b147,676,108,1,3,8,8008,P,1940,1919 - 1945,6.16,0.51,4.11,154.1,4.11
162548,b148,2008,224,5,5,9,8048,P,1945,1919 - 1945,7.41,5,7.5,377,8.5
142614,b149,1343,143,6,5,2,8038,P,1949,1946 - 1960,#N/A,#N/A,2.06,48,66
162951,b150,1430,148,3,5,9,8048,P,1907,1900 - 1919,#N/A,192.31,92.31,288,15.69
162997,b151,1730,143,1,5,9,8048,P,1894,< 1919,114,25,2,390,85
163561,b152,1661,170,6,5,9,8048,P,1948,1946 - 1960,61,3.78,47.29,591.1,#N/A
163562,b153,1644,169,6,5,9,8048,P,1948,1946 - 1960,60.38,3.74,46.8,585.05,#N/A
163563,b154,1734,170,6,5,9,8048,P,1948,1946 - 1960,63.68,3.95,49.37,617.08,#N/A
163564,b155,1986,194,6,5,9,8048,P,1948,1946 - 1960,72.94,4.52,56.54,706.76,#N/A
161961,b156,485,94,1,3,9,8048,P,1941,1919 - 1945,#N/A,#N/A,#N/A,50,32.69
161965,b157,547,94,1,3,9,8048,P,1942,1919 - 1945,2.02,#N/A,#N/A,#N/A,#N/A
153660,b158,3050,227,32,6,6,8006,O,1880,< 1919,68,1,11,1180,26
161105,b159,4221,370,17,5,9,8047,P,1956,1946 - 1960,25.24,3.79,25.24,959.13,37.86
161106,b160,1666,398,1,2,9,8047,F,1932,1919 - 1945,10.28,1.54,10.28,390.5,15.41
9001488,b161,9370,798,1,5,9,8047,P,1946,1946 - 1960,52.78,7.92,52.78,2005.63,79.17
161107,b162,622,95,1,3,9,8047,F,1950,1946 - 1960,3.89,0.58,3.89,147.69,5.83
174093,b163,697,88,2,4,12,8051,P,1904,1900 - 1919,#N/A,11.54,34.62,108,31.38
144615,b164,1175,109,3,4,3,8055,P,1940,1919 - 1945,#N/A,#N/A,#N/A,100,13.08
154123,b165,1561,158,1,5,6,8006,P,1923,1919 - 1945,99.09,3.85,225,149,20.92
302023599,b166,74,30,1,1,11,8046,P,1941,1919 - 1945,#N/A,#N/A,#N/A,9.45,6.18
168005,b167,598,61,1,4,11,8046,P,1941,1919 - 1945,#N/A,#N/A,#N/A,76.37,49.94
302023598,b168,111,44,1,1,11,8046,F,1941,1919 - 1945,#N/A,#N/A,#N/A,14.18,9.27
150270,b169,2920,184,26,8,5,8005,O,1893,< 1919,167.08,21.98,65.95,762.1,#N/A
302005053,b170,955,198,1,3,5,8005,F,1894,< 1919,54.64,7.19,21.57,249.25,#N/A
150305,b171,3285,198,10,8,5,8005,O,1894,< 1919,187.96,24.73,74.2,857.37,#N/A
302005054,b172,503,118,1,3,5,8005,F,1893,< 1919,28.78,3.79,11.36,131.28,#N/A
154254,b173,548,63,2,5,6,8006,O,1919,1919 - 1945,7,0.5,1.02,136,5
162832,b174,1480,104,3,5,9,8048,P,1927,1919 - 1945,60.85,1.33,120.09,131.83,18.15
162839,b175,505,70,1,4,9,8048,P,1928,1919 - 1945,21.76,0.48,42.94,47.14,6.49
154984,b176,2260,177,8,5,7,8044,P,1934,1919 - 1945,15.55,18.18,204.55,827.27,30.91
145256,b177,1415,130,2,4,3,8055,P,1923,1919 - 1945,17.54,9.62,28.85,300,19.62
147285,b178,3668,377,25,7,3,8055,F,1971,1971 - 1980,21.92,14.23,346.15,220,#N/A
166297,b179,2898,271,6,5,10,8037,P,1948,1946 - 1960,171,#N/A,115.38,260,51
145137,b180,3192,258,12,6,3,8045,P,1946,1946 - 1960,#N/A,5,20,850,60
145405,b181,1724,307,2,4,3,8045,M,1926,1919 - 1945,19.93,0.91,2.73,272.73,23.78
145406,b182,760,70,1,4,3,8045,P,1927,1919 - 1945,8.77,1,3,100,13.08
172522,b183,416,59,1,4,11,8052,P,1936,1919 - 1945,11.96,5.24,15.73,63.64,#N/A
170642,b184,589,70,3,4,11,8050,P,1918,1900 - 1919,#N/A,11.43,7.62,152.38,19.05
170644,b185,589,70,1,4,11,8050,P,1918,1900 - 1919,#N/A,11.43,7.62,152.38,19.05
163020,b186,2310,216,4,6,9,8048,P,1929,1919 - 1945,26.31,3,#N/A,150,6.54
163096,b187,3859,263,12,5,9,8048,F,1969,1961 - 1970,43.85,76.92,288.46,200,#N/A
154348,b188,1199,136,1,4,7,8044,P,1925,1919 - 1945,17.54,1.92,5.77,400,#N/A
158196,b189,703,113,1,4,7,8053,P,1948,1946 - 1960,17.1,5,1,156,17
154994,b190,1339,149,6,5,7,8044,P,1951,1946 - 1960,7.41,7.5,15,195,#N/A
157395,b191,2297,175,8,6,7,8032,O,1930,1919 - 1945,40.9,71.75,107.62,559.62,#N/A
157349,b192,2451,176,11,6,7,8032,O,1930,1919 - 1945,43.58,76.46,114.69,596.39,#N/A
157350,b193,2434,175,10,6,7,8032,O,1930,1919 - 1945,43.29,75.94,113.91,592.34,#N/A
157351,b194,2352,174,8,6,7,8032,O,1930,1919 - 1945,41.86,73.43,110.15,572.76,#N/A
157352,b195,2550,173,10,6,7,8032,O,1930,1919 - 1945,45.31,79.49,119.23,619.99,#N/A
151005,b196,226,69,2,1,6,8057,P,1948,1946 - 1960,0.77,0.61,1.45,12.15,#N/A
151006,b197,1729,165,6,5,6,8057,P,1948,1946 - 1960,5.91,4.63,11.12,92.97,#N/A
151007,b198,1431,149,6,5,6,8057,P,1948,1946 - 1960,4.89,3.83,9.2,76.94,#N/A
151008,b199,1721,165,6,5,6,8057,P,1948,1946 - 1960,5.89,4.61,11.06,92.54,#N/A
151009,b200,1488,149,6,5,6,8057,P,1948,1946 - 1960,5.09,3.99,9.57,80.01,#N/A
151010,b201,1720,166,6,5,6,8057,P,1948,1946 - 1960,5.88,4.61,11.06,92.48,#N/A
151017,b202,1490,148,6,5,6,8057,P,1948,1946 - 1960,5.1,3.99,9.58,80.12,#N/A
151018,b203,993,98,3,5,6,8057,P,1948,1946 - 1960,3.4,2.66,6.38,53.39,#N/A
151019,b204,1523,150,6,5,6,8057,P,1947,1946 - 1960,5.21,4.08,9.79,81.89,#N/A
151020,b205,1490,150,6,5,6,8057,P,1947,1946 - 1960,5.1,3.99,9.58,80.12,#N/A
151021,b206,1110,151,4,4,6,8057,P,1947,1946 - 1960,3.8,2.97,7.14,59.68,#N/A
151022,b207,1512,150,6,5,6,8057,P,1947,1946 - 1960,5.17,4.05,9.72,81.3,#N/A
151023,b208,1496,149,6,5,6,8057,P,1947,1946 - 1960,5.12,4.01,9.62,80.44,#N/A
151024,b209,1110,151,4,4,6,8057,P,1947,1946 - 1960,3.8,2.97,7.14,59.68,#N/A
151025,b210,1454,151,6,5,6,8057,P,1946,1946 - 1960,4.97,3.9,9.35,78.18,#N/A
151026,b211,1421,149,6,4,6,8057,P,1946,1946 - 1960,4.86,3.81,9.14,76.41,#N/A
151027,b212,1417,149,6,4,6,8057,P,1946,1946 - 1960,4.85,3.8,9.11,76.19,#N/A
151003,b213,2198,218,9,5,6,8057,P,1945,1919 - 1945,98.65,1.92,#N/A,920,#N/A
165181,b214,967,108,1,5,10,8049,P,1931,1919 - 1945,#N/A,2.5,13,470,10
171850,b215,825,104,1,4,11,8052,P,1934,1919 - 1945,8.1,#N/A,#N/A,68.2,48.8
161605,b216,2240,208,9,5,9,8047,P,1940,1919 - 1945,19.29,0.1,0.9,40,17
144458,b217,2077,193,9,5,3,8055,P,1942,1919 - 1945,60,2,20,1300,50
3169497,b218,305,64,1,3,11,8046,P,1858,< 1919,10.47,#N/A,3.9,109.29,12.86
153107,b219,1142,158,3,3,6,8057,M,1928,1919 - 1945,80,1,10,340,10
160550,b220,730,111,1,3,9,8055,P,1933,1919 - 1945,11.82,#N/A,35,65.45,#N/A
161135,b221,4522,317,20,6,9,8047,F,1965,1961 - 1970,30,30,30,650,#N/A
162888,b222,2272,208,6,5,9,8048,P,1950,1946 - 1960,12.06,6.34,#N/A,175.97,25.17
162889,b223,2872,263,9,5,9,8048,P,1950,1946 - 1960,15.07,7.93,#N/A,219.98,31.46
158596,b224,534,115,1,4,7,8053,P,1951,1946 - 1960,13.15,0.77,2.31,630,26.15
172842,b225,652,90,1,4,11,8052,P,1920,1919 - 1945,#N/A,17.48,#N/A,36.36,11.89
166546,b226,1389,146,6,5,10,8037,P,1956,1946 - 1960,#N/A,#N/A,#N/A,#N/A,#N/A
302047118,b227,1430,211,1,2,2,8002,P,1926,1919 - 1945,68.73,#N/A,77.91,211.73,12.54
143594,b228,1535,274,1,5,2,8002,F,1926,1919 - 1945,73.77,#N/A,83.63,227.27,13.46
156670,b229,1475,163,1,3,7,8032,P,1925,1919 - 1945,#N/A,3.21,#N/A,416.67,10.9
162491,b230,593,70,1,4,9,8048,P,1912,1900 - 1919,26.31,19.23,115.38,260,26.15
154716,b231,1089,169,1,4,7,8044,P,1950,1946 - 1960,2.08,0.42,0.83,12.5,#N/A
154360,b232,1748,134,1,5,7,8044,P,1928,1919 - 1945,10.36,2.27,6.82,212.73,30.91
151016,b233,777,91,1,4,6,8006,O,1925,1919 - 1945,10.44,#N/A,1.16,104.37,22.75
151013,b234,563,66,1,4,6,8006,O,1925,1919 - 1945,7.56,#N/A,0.84,75.63,16.48
165714,b235,583,78,1,4,10,8049,P,1908,1900 - 1919,6.38,#N/A,#N/A,96,#N/A
165718,b236,1343,178,2,4,10,8049,M,1929,1919 - 1945,30,0.5,1,350,5
172744,b237,1384,177,2,4,11,8050,P,1957,1946 - 1960,#N/A,#N/A,#N/A,230.22,1.96
302016922,b238,2307,406,1,3,11,8050,F,1962,1961 - 1970,#N/A,#N/A,#N/A,374.72,3.19
162281,b239,971,117,1,4,9,8048,M,1930,1919 - 1945,#N/A,1,6,230,12
158323,b240,530,84,1,3,7,8053,P,1952,1946 - 1960,11.4,2.5,15,195,13.6
147553,b241,1572,117,5,6,3,8003,P,1895,< 1919,28.5,9.62,30,1040,17
162429,b242,750,87,1,4,9,8048,P,1926,1919 - 1945,12.95,2.27,13.64,177.27,46.36
162444,b243,375,55,1,2,9,8048,P,1943,1919 - 1945,6.58,#N/A,#N/A,50,#N/A
162438,b244,1705,166,6,5,9,8048,P,1951,1946 - 1960,20,#N/A,5,550,9
141453,b245,1901,185,6,5,2,8038,P,1949,1946 - 1960,#N/A,#N/A,#N/A,195.61,12.79
141454,b246,1978,181,6,5,2,8038,P,1949,1946 - 1960,#N/A,#N/A,#N/A,203.53,13.31
141455,b247,1952,185,6,4,2,8038,P,1949,1946 - 1960,#N/A,#N/A,#N/A,200.86,13.13
143815,b248,45753,3865,130,11,2,8002,M,1987,> 1986,120,110,5050,3960,95
153561,b249,1850,205,12,6,6,8006,P,1937,1919 - 1945,10,4,6,200,61.2
156158,b250,874,121,7,4,7,8032,P,1888,< 1919,10.97,#N/A,#N/A,25.01,2.18
156159,b251,1771,121,5,6,7,8032,P,1887,< 1919,22.22,#N/A,#N/A,50.69,4.42
156160,b252,1718,119,8,7,7,8032,P,1887,< 1919,21.56,#N/A,#N/A,49.17,4.29
156161,b253,878,121,1,4,7,8032,P,1888,< 1919,11.02,#N/A,#N/A,25.13,2.19
167244,b254,1092,107,3,5,10,8037,P,1891,< 1919,21.82,#N/A,45.45,281.82,18.18
167245,b255,1003,103,3,5,10,8037,P,1891,< 1919,#N/A,1.59,23.82,123.88,8.1
167246,b256,1954,130,4,7,10,8037,P,1892,< 1919,#N/A,2.92,43.78,227.63,14.88
166278,b257,1170,125,2,4,10,8037,P,1925,1919 - 1945,#N/A,#N/A,#N/A,65,17
169455,b258,743,120,2,4,11,8050,M,1920,1919 - 1945,20,#N/A,5,261,#N/A
141407,b259,850,141,1,3,2,8038,P,1931,1919 - 1945,15,1,8,250,6
169980,b260,1270,146,1,3,11,8050,P,1909,1900 - 1919,37.1,2.5,23.4,750,16
170948,b261,1253,171,1,4,11,8050,M,1938,1919 - 1945,6.58,9.62,11.54,500,52.31
170740,b262,1807,159,11,5,11,8050,P,1939,1919 - 1945,25.19,#N/A,110.48,255.34,33.39
170741,b263,1873,158,6,5,11,8050,P,1939,1919 - 1945,26.11,#N/A,114.52,264.66,34.61
